Date,Opponent,Venue,Result,"Result (Win, Draw, Lost)",Result (Win versus Points Lost),Points,Goals,Goals Against,Shots,Shots on Target,Shots on Target %,Goals Per Shot,Goals Per Shot on Target,Average Shot Distance,Free Kick Goals,Penalty Kick Goals,Penalty Kick Attempt,Expected Goals,Non-penalty Expected Goals,Non-penalty Expected Goals Per Shot,Goals Minus Expected Goals,Non Penalty Goals Minus Expected Non-penalty Goals,Shots on Target Against,Saves By Goalkeeper,Save Percentage By Goalkeeper,Clean Sheets,Post-shot Expected Goals,Post-shot Expected Goals Minus Goals,Passes Completed (Longer than 40 yards) By Goalkeeper,Passes Attempted (Longer than 40 yards) By Goalkeeper,Passes Completed Percentage (Longer than 40 yards) By Goalkeeper,Passes Attempted By Goalkeeper,Average Passes Length By Goalkeeper,Goals Kicks Attempted By Goalkeeper,Goals Kicks Attempted (Longer than 40 yards) ,Average Goal Kicks Length By Goalkeeper,Crosses Faced By Goalkeeper,Crosses Stopped By Goalkeeper,Crosses Stopped Percentage By Goalkeeper,Defensive Action Outside Penalty Area By Goalkeeper,Average Distance of Defensive Action By Goalkeeper,Passes Completed,Passes Attemped,Passes Completion Percentage,Total Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attemped,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attemped,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attemped,Long Passes Completion Percentage,Assist,Expected Assisted Goals,Expected Assist,Key passes,Passes Into Final Third,Passes Into Penalty Area,Crosses Into Penalty Area,Progressive Passes,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Challenged Tribble Attempted,Challenged Tribble Successful Percentage,Blocks,Shots Blocked,Shot Against,Shots Block Percentage(%),Passes Blocked,Interception,Clearance,Errors,Possession (%),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-on (Dribble) Attempted,Take-on (Dribble) Success Percentage,Carries,Total Carries Distance,Progressive Carries Distance,Progressive Carries,Carries into Final Third,Carries Into Penalty Area,Miscontrols,Dispossesed,Yellow Card,Red Cards,Fouls Commited,Fouls Drawn,Offsides,Crosses,Interception,Tackles Won,Ball Recovery,Aerial Duel Won,Aerial Duel Lost,Arieal Duel Won Percentage
9/10/2022,Everton,Away,W,2,1,3,2,1,12,4,33.3,0.17,0.5,18.8,0,0,0,1.4,1.4,0.12,0.6,0.6,2,1,50,0,0.5,-0.5,6,11,54.5,32,23.6,7,85.7,61,26,1,3.8,3,19.5,533,645,82.6,8905,3010,260,289,90,223,256,87.1,40,73,54.8,2,1.4,1.1,11,39,6,1,47,15,6,6,8,1,20,60,13,6,11,0.545454545,7,5,25,0,60,744,82,217,364,169,16,13,53.8,441,1948,1021,19,16,5,9,4,1,0,13,7,4,9,5,6,64,17,13,56.7
13/10/2022,AC Omonia,Home,W,2,1,3,1,0,34,13,38.2,0.03,0.08,16.9,0,0,0,4.2,4.2,0.13,-3.2,-3.2,1,1,100,1,0.1,0.1,2,3,66.7,16,26.9,2,0,25,5,1,20,1,17.7,698,804,86.8,11752,3538,350,374,93.6,272,304,89.5,58,84,69,0,3.5,3.2,30,87,24,1,99,19,7,7,10,2,14,71.4,7,0,3,0,7,8,5,0,78,915,24,106,433,379,51,26,38.5,618,2747,1580,36,20,10,11,9,0,0,8,7,1,29,8,7,64,14,8,63.6
16/10/2022,Newcastle Utd,Home,D,1,0,1,0,0,15,2,13.3,0,0,19.4,1,0,0,0.8,0.8,0.05,-0.8,-0.8,2,2,100,1,0.1,0.1,6,13,46.2,30,33,5,80,61.4,8,0,0,0,4,440,555,79.3,7676,2590,213,229,93,177,209,84.7,41,81,50.6,0,0.7,1.2,12,36,11,3,43,18,11,10,7,1,9,100,11,2,9,0.222222222,9,10,9,0,63,648,65,213,247,194,29,11,36.4,391,2049,1072,24,13,11,14,7,3,0,13,11,2,20,10,11,53,6,13,31.6
19/10/2022,Tottenham,Home,W,2,1,3,2,0,28,10,35.7,0.07,0.2,21.4,1,0,0,1.5,1.5,0.06,0.5,0.5,2,2,100,1,0.3,0.3,5,20,25,33,44.4,2,50,47.5,12,0,0,2,18,520,618,84.1,8645,2475,274,308,89,179,205,87.3,51,78,65.4,1,1.4,1.4,25,37,11,2,38,17,12,7,6,4,11,45.5,15,2,9,0.222222222,13,7,16,0,52,738,69,196,281,269,30,17,41.2,425,1895,988,26,17,9,17,6,1,0,7,7,4,12,7,12,58,11,7,61.1
22/10/2022,Chelsea,Away,D,1,0,1,1,1,13,6,46.2,0.08,0.17,22.1,1,0,0,0.8,0.8,0.06,0.2,0.2,2,1,100,0,1,0,2,8,25,23,30.6,4,75,51.5,15,0,0,0,,390,505,77.2,6536,2466,196,237,82.7,140,167,83.8,39,66,59.1,1,0.8,0.6,12,32,9,2,44,18,8,10,6,2,20,65,8,1,5,0.2,7,12,17,0,52,611,63,207,265,142,22,14,42.9,392,1953,985,20,14,7,15,3,4,0,10,8,3,9,12,8,51,16,14,53.3
27/10/2022,Sheriff Tiraspol,Home,W,2,1,3,3,0,24,10,41.7,0.13,0.3,19.3,2,0,0,2.7,2.7,0.12,0.3,0.3,0,0,,1,0,0,1,1,100,15,18.7,1,0,30,0,0,,1,19,673,755,89.1,10723,3486,367,384,95.6,234,269,87,52,69,75.4,2,2.2,2.8,20,91,18,3,87,14,7,5,6,3,14,57.1,4,0,0,0,4,1,1,0,74,834,19,108,327,404,52,20,35,593,3042,1957,44,31,11,12,9,1,0,6,9,1,29,1,7,51,6,10,37.5
30/10/2022,West Ham,Home,W,2,1,3,1,0,16,3,18.8,0.06,0.33,18.1,0,0,0,1.2,1.2,0.08,-0.2,-0.2,4,4,100,1,0.8,0.8,1,9,11.1,29,30.8,3,33.3,32,25,0,0,3,20.8,422,521,81,7001,2254,208,227,91.6,161,196,82.1,39,71,54.9,1,1.1,1.3,14,27,11,4,29,18,15,13,3,2,15,73.3,14,7,13,0.538461538,7,7,33,0,53,646,86,242,240,170,24,15,40,301,1698,1009,13,10,4,10,8,1,0,12,10,1,18,7,15,55,16,14,53.3
3/11/2022,Real Sociedad,Away,W,2,1,3,1,0,4,1,25,0.25,1,14.8,0,0,0,0.7,0.7,0.17,0.3,0.3,4,4,100,1,1.3,1.3,6,15,40,36,35,10,40,41.3,12,1,8.3,0,4,387,501,77.2,7690,2737,151,180,83.9,161,188,85.6,67,103,65,1,0.3,0.3,3,29,8,0,38,17,4,13,3,1,13,61.5,13,3,13,0.230769231,10,21,24,1,53,621,91,281,251,94,13,11,45.5,325,1411,754,15,7,3,13,6,3,0,11,5,2,11,21,4,51,25,23,52.1
6/11/2022,Aston Villa,Away,L,0,0,0,1,3,8,3,37.5,0,0,19.7,1,0,0,0.5,0.5,0.06,-0.5,-0.5,4,1,25,0,1.5,-1.5,2,5,40,25,29.6,3,33.3,26.3,5,2,40,0,6,494,596,82.9,8980,2789,230,254,90.6,195,220,88.6,62,91,68.1,0,0.3,0.9,4,54,13,2,54,15,10,6,2,7,10,60,8,0,6,0,8,9,5,0,58,668,40,156,302,214,29,18,44.4,435,2081,992,15,14,7,12,7,3,0,12,3,3,23,9,10,36,8,8,50
10/11/2022,Aston Villa,Home,W,2,1,3,4,2,19,8,42.1,0.21,0.5,,,0,0,,,,,,3,1,33.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,10,,,,,,,,5,0,,3,,,59,,,,,,,,,,,,,,,,,3,0,13,11,8,14,3,10,,,,
